title,author,price,tags,image,url,ai_caption
Last Studio,by Bryn Taylor,$129,"Framer, Agency",https://cdn.lapa.ninja/assets/templates/last-studio-framer-template-thumb.jpg,https://www.lapa.ninja/templates/last-studio-framer-template/,the website for the new website for the new website
Lucide,by Bryn Taylor,$49,"Webflow, Portfolio, Agency",https://cdn.lapa.ninja/assets/templates/lucide-website-template-thumb.jpg,https://www.lapa.ninja/templates/lucide-website-template/,the website design for a new company
Venture FZ,by Flowzai,$79,"Webflow, Finance, Business",https://cdn.lapa.ninja/assets/templates/venture-fz-website-template-thumb.jpg,https://www.lapa.ninja/templates/venture-fz-website-template/,venture investment investment investment investment investment investment investment investment investment investment investment investment investment investment investment investment investment investment investment
John Moore,by Bestlooker,$29,"Webflow, Portfolio, Agency",https://cdn.lapa.ninja/assets/templates/johnmoore-portfolio-website-template-thumb.jpg,https://www.lapa.ninja/templates/johnmoore-portfolio-website-template/,a website design for a company
Axel,by JP,$129,"Webflow, Agency, SaaS",https://cdn.lapa.ninja/assets/templates/axel-finance-website-template-thumb.webp,https://www.lapa.ninja/templates/axel-finance-website-template/,the cover of the issue of the magazine ax capital
Kokoro,by Kota,$69,"Framer, Portfolio, Business, Photography",https://cdn.lapa.ninja/assets/templates/kokoro-template-for-framer-thumb.webp,https://www.lapa.ninja/templates/kokoro-template-for-framer/,koro magazine cover
Kim,by JP,$59,"Framer, Portfolio",https://cdn.lapa.ninja/assets/templates/kim-modern-portfolio-for-framer-thumb.webp,https://www.lapa.ninja/templates/kim-modern-portfolio-for-framer/,a series of three different images of a woman with long hair
Thrive App,by Asad Digital,$29,"Webflow, SaaS, Technology, App",https://cdn.lapa.ninja/assets/templates/thrive-app-website-template-thumb.webp,https://www.lapa.ninja/templates/thrive-app-website-template/,the new app for the apple music app
Dashfolio+,by Canvas Supply,$199,"Framer, Portfolio",https://cdn.lapa.ninja/assets/templates/dashfolio-plus-for-framer-thumb.webp,https://www.lapa.ninja/templates/dashfolio-plus-for-framer/,the website design for the new apple tv app
Codebase,by Fouroom,$79,"Webflow, SaaS, Technology",https://cdn.lapa.ninja/assets/templates/codebase-it-company-website-template-thumb.webp,https://www.lapa.ninja/templates/codebase-it-company-website-template/,the website design for a company that uses the wordpress
Startkit X,by BRIX Templates,$129,"Webflow, SaaS, App, Technology",https://cdn.lapa.ninja/assets/templates/startkitx-technology-website-template-thumb.webp,https://www.lapa.ninja/templates/startkitx-technology-website-template/,the landing page for the website
Osamu,by Kota,$79,"Framer, Agency",https://cdn.lapa.ninja/assets/templates/osamu-agency-template-for-framer-thumb.webp,https://www.lapa.ninja/templates/osamu-agency-template-for-framer/,a website design for a company
DesignLab,by studio-Hi,$19,"Framer, Agency",https://cdn.lapa.ninja/assets/templates/designlab-landing-page-for-framer-thumb.webp,https://www.lapa.ninja/templates/designlab-landing-page-for-framer/,the website design process
Bored,by JP,$79,"Webflow, Agency",https://cdn.lapa.ninja/assets/templates/bored-agency-website-template-thumb.webp,https://www.lapa.ninja/templates/bored-agency-website-template/,we craft bold bold bold bold bold bold bold bold bold bold bold bold bold bold bold bold bold bold bold bold bold bold bold bold bold bold bold bold bold bold bold
Homais,by Gustave Flowbert,$49,"Webflow, Agency, SaaS",https://cdn.lapa.ninja/assets/templates/homais-agency-website-template-thumb.webp,https://www.lapa.ninja/templates/homais-agency-website-template/,a series of photos showing different types of skin
Mollie,by JP,$149,"Webflow, SaaS",https://cdn.lapa.ninja/assets/templates/mollie-saas-website-template-thumb.webp,https://www.lapa.ninja/templates/mollie-saas-website-template/,Error
Yoga You,by Wavesdesign,$79,"Webflow, Ecommerce, Health, Business",https://cdn.lapa.ninja/assets/templates/yogayou-wellness-website-template-thumb.webp,https://www.lapa.ninja/templates/yogayou-wellness-website-template/,yoga studio wordpress theme
Spam,by JP,$79,"Webflow, Agency",https://cdn.lapa.ninja/assets/templates/spam-agency-website-template-thumb.webp,https://www.lapa.ninja/templates/spam-agency-website-template/,a poster with a woman ' s face and the words spam
Arnoux,by Gustave Flowbert,$29,"Webflow, Architecture, Agency",https://cdn.lapa.ninja/assets/templates/arnoux-architecture-website-template-thumb.webp,https://www.lapa.ninja/templates/arnoux-architecture-website-template/,an image of a building with the words arox
Leon,by Gustave Flowbert,$49,"Webflow, Portfolio, Agency, Photography",https://cdn.lapa.ninja/assets/templates/leon-portfolioi-website-template-thumb.webp,https://www.lapa.ninja/templates/leon-portfolioi-website-template/,leon durus - the story of the artist
