source,title,author,price,tags,image,url,ai_caption,ai_palette,ai_tags,layout,font_style,aesthetic_style,confidence
Lapa Ninja,Last Studio,by Bryn Taylor,$129,"Framer, Agency",https://cdn.lapa.ninja/assets/templates/last-studio-framer-template-thumb.jpg,https://www.lapa.ninja/templates/last-studio-framer-template/,"Moody agency site with muted tones and an undefined, possibly asymmetrical layout.","[""#000000"", ""#333333"", ""#CCCCCC"", ""#FFFFFF""]","moody, minimal, dark, creative, experimental",asymmetrical,sans-serif,artistic,0.82
Lapa Ninja,Lucide,by Bryn Taylor,$49,"Webflow, Portfolio, Agency",https://cdn.lapa.ninja/assets/templates/lucide-website-template-thumb.jpg,https://www.lapa.ninja/templates/lucide-website-template/,"Clean, calm portfolio interface with muted tones and balanced, spacious layout.",[],"clean, calm, minimal, spacious, professional",portfolio,sans-serif,minimal,0.91
Lapa Ninja,Venture FZ,by Flowzai,$79,"Webflow, Finance, Business",https://cdn.lapa.ninja/assets/templates/venture-fz-website-template-thumb.jpg,https://www.lapa.ninja/templates/venture-fz-website-template/,"Clean, modern business site with neutral tones and a balanced grid layout.","[""#003366"", ""#3399CC"", ""#66CC99"", ""#CCCCCC"", ""#000000""]","clean, modern, professional, corporate",grid-based,sans-serif,minimal,0.88
Lapa Ninja,John Moore,by Bestlooker,$29,"Webflow, Portfolio, Agency",https://cdn.lapa.ninja/assets/templates/johnmoore-portfolio-website-template-thumb.jpg,https://www.lapa.ninja/templates/johnmoore-portfolio-website-template/,Portfolio or agency site with indeterminate mood and unspecified visual style.,[],"portfolio, agency, modern, professional",unknown,unknown,unknown,0.3
Lapa Ninja,Axel,by JP,$129,"Webflow, Agency, SaaS",https://cdn.lapa.ninja/assets/templates/axel-finance-website-template-thumb.webp,https://www.lapa.ninja/templates/axel-finance-website-template/,"Moody agency site with muted tones and understated, minimal composition.","[""#000000"", ""#333333"", ""#CCCCCC"", ""#FFFFFF"", ""#666666""]","minimal, dark, modern, professional",unknown,sans-serif,minimalist,0.82
Lapa Ninja,Kokoro,by Kota,$69,"Framer, Portfolio, Business, Photography",https://cdn.lapa.ninja/assets/templates/kokoro-template-for-framer-thumb.webp,https://www.lapa.ninja/templates/kokoro-template-for-framer/,"Calm, minimal portfolio with muted tones and balanced, uncluttered layout.","[""#FFCCCC"", ""#FF6666"", ""#FFFFFF"", ""#CC3366"", ""#660033""]","calm, minimal, clean, spacious",portfolio,sans-serif,modern,0.91
Lapa Ninja,Kim,by JP,$59,"Framer, Portfolio",https://cdn.lapa.ninja/assets/templates/kim-modern-portfolio-for-framer-thumb.webp,https://www.lapa.ninja/templates/kim-modern-portfolio-for-framer/,"Muted, minimal portfolio with understated tones and a balanced, uncluttered layout.","[""#000000"", ""#FFFFFF"", ""#CCCCCC"", ""#FF3366"", ""#3399FF""]","minimal, calm, clean, portfolio",spacious,sans-serif,modern,0.88
Lapa Ninja,Thrive App,by Asad Digital,$29,"Webflow, SaaS, Technology, App",https://cdn.lapa.ninja/assets/templates/thrive-app-website-template-thumb.webp,https://www.lapa.ninja/templates/thrive-app-website-template/,"Clean SaaS app interface with muted tones and balanced, calming spacing.","[""#339966"", ""#66CC99"", ""#003366"", ""#FFFFFF"", ""#CCCCCC""]","clean, calm, minimal, techy",unknown,sans-serif,modern,0.88
Lapa Ninja,Dashfolio+,by Canvas Supply,$199,"Framer, Portfolio",https://cdn.lapa.ninja/assets/templates/dashfolio-plus-for-framer-thumb.webp,https://www.lapa.ninja/templates/dashfolio-plus-for-framer/,"Clean, modern dashboard portfolio with muted tones and balanced grid layout.","[""#003366"", ""#3399CC"", ""#66CC99"", ""#CCCCCC"", ""#FFFFFF""]","clean, minimal, modern, professional",dashboard,sans-serif,minimalist,0.88
Lapa Ninja,Codebase,by Fouroom,$79,"Webflow, SaaS, Technology",https://cdn.lapa.ninja/assets/templates/codebase-it-company-website-template-thumb.webp,https://www.lapa.ninja/templates/codebase-it-company-website-template/,Monochrome SaaS interface with structured grid and subdued gray palette.,"[""#000000"", ""#FFFFFF"", ""#336699"", ""#CCCCCC"", ""#009999""]","monochrome, minimal, techy, professional",grid,sans-serif,modern,0.92
Lapa Ninja,Startkit X,by BRIX Templates,$129,"Webflow, SaaS, App, Technology",https://cdn.lapa.ninja/assets/templates/startkitx-technology-website-template-thumb.webp,https://www.lapa.ninja/templates/startkitx-technology-website-template/,"Modern SaaS and technology landing page with clean, professional vibe.","[""#3399FF"", ""#33CC33"", ""#FFCC00"", ""#FFFFFF"", ""#333333""]","modern, techy, clean, professional",landing page,sans-serif,minimal,0.72
Lapa Ninja,Osamu,by Kota,$79,"Framer, Agency",https://cdn.lapa.ninja/assets/templates/osamu-agency-template-for-framer-thumb.webp,https://www.lapa.ninja/templates/osamu-agency-template-for-framer/,"Muted, minimal agency site with understated tones and balanced, uncluttered layout.","[""#336699"", ""#CCCCCC"", ""#003366"", ""#6699CC"", ""#000000""]","minimal, calm, clean, professional",spacious,sans-serif,modern,0.88
Lapa Ninja,DesignLab,by studio-Hi,$19,"Framer, Agency",https://cdn.lapa.ninja/assets/templates/designlab-landing-page-for-framer-thumb.webp,https://www.lapa.ninja/templates/designlab-landing-page-for-framer/,"Clean agency website with neutral tones and an uncluttered, minimal interface.","[""#0000FF"", ""#00FFFF"", ""#00FF00"", ""#FFFF00"", ""#FFFFFF""]","clean, minimal, professional, spacious, modern",unknown,sans-serif,minimal,0.87
Lapa Ninja,Bored,by JP,$79,"Webflow, Agency",https://cdn.lapa.ninja/assets/templates/bored-agency-website-template-thumb.webp,https://www.lapa.ninja/templates/bored-agency-website-template/,"Muted, minimal agency site with subdued tones and a sparse, spacious layout.",[],"minimal, calm, spacious, agency",sparse,sans-serif,modern,0.88
Lapa Ninja,Homais,by Gustave Flowbert,$49,"Webflow, Agency, SaaS",https://cdn.lapa.ninja/assets/templates/homais-agency-website-template-thumb.webp,https://www.lapa.ninja/templates/homais-agency-website-template/,"Muted, spacious agency site with understated tones and calm, neutral mood.","[""#6699CC"", ""#CCCCCC"", ""#333333"", ""#FFFFFF"", ""#66CC99""]","calm, minimal, spacious, clean, professional",unknown,sans-serif,minimal,0.87
Lapa Ninja,Mollie,by JP,$149,"Webflow, SaaS",https://cdn.lapa.ninja/assets/templates/mollie-saas-website-template-thumb.webp,https://www.lapa.ninja/templates/mollie-saas-website-template/,"Clean SaaS interface with muted pastels and balanced, spacious layout.",[],"clean, calm, minimal, spacious, professional",unknown,sans-serif,modern,0.87
Lapa Ninja,Yoga You,by Wavesdesign,$79,"Webflow, Ecommerce, Health, Business",https://cdn.lapa.ninja/assets/templates/yogayou-wellness-website-template-thumb.webp,https://www.lapa.ninja/templates/yogayou-wellness-website-template/,"Calm, spacious yoga ecommerce site with muted earth tones and balanced layout.","[""#66CC99"", ""#FFFFFF"", ""#CCCCCC"", ""#339966"", ""#FFCC66""]","calm, minimal, organic, spacious",spacious,sans-serif,organic-minimal,0.91
