source,title,url,image,dominant_colors,color_weights,primary_hex,primary_descriptor,elements,mood_keywords,confidence
Lapa Ninja (Post),Monologue,https://www.lapa.ninja/post/monologue/,https://cdn.lapa.ninja/assets/images/1x/monologue-thumb.jpg,"[""#0f0f0f"", ""#434343""]","{""#0f0f0f"": 0.8838, ""#434343"": 0.0605}",#0f0f0f,dark neutral,"rounded buttons, sidebar, large typography, video background, grid layout, cta button","modern, retro, futuristic",0.75
Lapa Ninja (Post),Ona,https://www.lapa.ninja/post/ona/,https://cdn.lapa.ninja/assets/images/1x/ona-thumb.jpg,"[""#fefefe"", ""#95a9cb""]","{""#fefefe"": 0.8207, ""#95a9cb"": 0.0657}",#fefefe,light neutral,"search bar, rounded buttons, split screen, icon list, sidebar, footer","modern, minimal, professional",0.75
Lapa Ninja (Post),Jon Howell,https://www.lapa.ninja/post/jonhowell/,https://cdn.lapa.ninja/assets/images/1x/jonhowell-thumb.jpg,"[""#020102"", ""#3c3234""]","{""#020102"": 0.6201, ""#3c3234"": 0.1323}",#020102,dark neutral,"avatar, grid layout, large typography, search bar, video background, sidebar","futuristic, modern, artistic",0.75
Lapa Ninja (Post),Brainfish,https://www.lapa.ninja/post/brainfishai/,https://cdn.lapa.ninja/assets/images/1x/brainfishai-thumb.jpg,"[""#adebe7"", ""#e2f6fa""]","{""#adebe7"": 0.4298, ""#e2f6fa"": 0.2704}",#adebe7,bright teal,"rounded buttons, top navigation, sidebar, pricing cards, feature list, search bar","modern, minimal, cool",0.71
Lapa Ninja (Post),Board.fun,https://www.lapa.ninja/post/board-fun/,https://cdn.lapa.ninja/assets/images/1x/board-fun-thumb.jpg,"[""#312826"", ""#fefef1""]","{""#312826"": 0.2096, ""#fefef1"": 0.3194}",#312826,dark muted red,"large typography, split screen, grid layout, sidebar, rounded buttons, video background","modern, creative, artistic",0.6
Lapa Ninja (Post),Chipsa,https://www.lapa.ninja/post/chipsa/,https://cdn.lapa.ninja/assets/images/1x/chipsa-thumb.jpg,"[""#f5f5f5"", ""#171716""]","{""#f5f5f5"": 0.721, ""#171716"": 0.0928}",#f5f5f5,light neutral,"large typography, rounded buttons, sidebar, top navigation, avatar, form","futuristic, modern, minimal",0.75
Lapa Ninja (Post),Aeons,https://www.lapa.ninja/post/aeons/,https://cdn.lapa.ninja/assets/images/1x/aeons-thumb.jpg,"[""#010101""]","{""#010101"": 0.9177}",#010101,dark neutral,"centered hero, avatar, icon list, video background, large typography, data table","cool, creative, futuristic",0.75
Lapa Ninja (Post),MØM,https://www.lapa.ninja/post/matter-of-mind-2/,https://cdn.lapa.ninja/assets/images/1x/matter-of-mind-2-thumb.jpg,"[""#272928"", ""#846851""]","{""#272928"": 0.8407, ""#846851"": 0.0509}",#272928,dark gray,"large typography, sidebar, rounded buttons, grid layout, video background, data table","modern, minimal, bold",0.75
Lapa Ninja (Post),Merlin,https://www.lapa.ninja/post/merlin/,https://cdn.lapa.ninja/assets/images/1x/merlin-thumb.jpg,"[""#fdfdfe"", ""#519cc0""]","{""#fdfdfe"": 0.8442, ""#519cc0"": 0.0604}",#fdfdfe,light neutral,"search bar, rounded buttons, avatar, sidebar, cta button, split screen","professional, modern, futuristic",0.75
Lapa Ninja (Post),CHRLS.DSGN,https://www.lapa.ninja/post/chrls/,https://cdn.lapa.ninja/assets/images/1x/chrls-thumb.jpg,"[""#e9e9e9"", ""#f46d21""]","{""#e9e9e9"": 0.7221, ""#f46d21"": 0.0999}",#e9e9e9,light gray,"sidebar, cta button, grid layout, large typography, single column, pricing cards","modern, minimal, professional",0.75
Lapa Ninja (Post),Fantasy,https://www.lapa.ninja/post/fantasy/,https://cdn.lapa.ninja/assets/images/1x/fantasy-thumb.jpg,"[""#0b0c0e""]","{""#0b0c0e"": 0.929}",#0b0c0e,dark neutral,"rounded buttons, search bar, large typography, grid layout, feature list, split screen","futuristic, modern, minimal",0.75
Lapa Ninja (Post),Vibe-X,https://www.lapa.ninja/post/vibex/,https://cdn.lapa.ninja/assets/images/1x/vibex-thumb.jpg,"[""#080808""]","{""#080808"": 0.9196}",#080808,dark neutral,"rounded buttons, sidebar, search bar, video background, form, avatar","minimal, futuristic, modern",0.75
Lapa Ninja (Post),Creech,https://www.lapa.ninja/post/creech/,https://cdn.lapa.ninja/assets/images/1x/creech-thumb.jpg,"[""#f1f1f1"", ""#b89a98""]","{""#f1f1f1"": 0.5083, ""#b89a98"": 0.1721}",#f1f1f1,light neutral,"search bar, grid layout, icon list, sidebar, feature list, video background","minimal, modern, artistic",0.75
Lapa Ninja (Post),LORE,https://www.lapa.ninja/post/lore/,https://cdn.lapa.ninja/assets/images/1x/lore-thumb.jpg,"[""#f8f8f8"", ""#180b05""]","{""#f8f8f8"": 0.4664, ""#180b05"": 0.175}",#f8f8f8,light neutral,"rounded buttons, sidebar, grid layout, video background, avatar, feature list","minimal, futuristic, creative",0.73
Lapa Ninja (Post),Taara,https://www.lapa.ninja/post/taaraconnect/,https://cdn.lapa.ninja/assets/images/1x/taaraconnect-thumb.jpg,"[""#ffffff"", ""#c5c0c0""]","{""#ffffff"": 0.7979, ""#c5c0c0"": 0.1153}",#ffffff,light neutral,"rounded buttons, large typography, top navigation, form, cta button, hero image","futuristic, modern, luxury",0.75
Lapa Ninja (Post),Control,https://www.lapa.ninja/post/cntrl-2/,https://cdn.lapa.ninja/assets/images/1x/cntrl-2-thumb.jpg,"[""#ffffff"", ""#0b0b0b""]","{""#ffffff"": 0.7671, ""#0b0b0b"": 0.1506}",#ffffff,light neutral,"split screen, sidebar, rounded buttons, grid layout, large typography, feature list","modern, futuristic, creative",0.75
Lapa Ninja (Post),Stephanie Bruce,https://www.lapa.ninja/post/stephaniebruce-2/,https://cdn.lapa.ninja/assets/images/1x/stephaniebruce-2-thumb.jpg,"[""#0a0a0a"", ""#22523d""]","{""#0a0a0a"": 0.8198, ""#22523d"": 0.0594}",#0a0a0a,dark neutral,"large typography, grid layout, split screen, rounded buttons, search bar, feature list","modern, minimal, futuristic",0.75
