source,title,url,image,dominant_colors,color_weights,primary_hex,primary_descriptor,elements,mood_keywords,confidence,caption,tags,cluster
Lapa Ninja (Post),Monologue,https://www.lapa.ninja/post/monologue/,https://cdn.lapa.ninja/assets/images/1x/monologue-thumb.jpg,"[""#0f0f0f"", ""#3f3f3f""]","{""#0f0f0f"": 0.8754, ""#3f3f3f"": 0.0662}",#0f0f0f,dark neutral,"rounded buttons, sidebar, large typography, video background, grid layout, cta button","modern, retro, futuristic",0.75,Modern grid layout with dark neutral background and large typography.,"modern, grid, dark, typography, video-background, rounded-buttons",4
Lapa Ninja (Post),Ona,https://www.lapa.ninja/post/ona/,https://cdn.lapa.ninja/assets/images/1x/ona-thumb.jpg,"[""#fefefe"", ""#92a7c8""]","{""#fefefe"": 0.8248, ""#92a7c8"": 0.0648}",#fefefe,light neutral,"search bar, rounded buttons, split screen, icon list, sidebar, footer","modern, minimal, professional",0.75,Modern split screen layout with light neutral background and rounded buttons.,"modern, minimal, neutral, split-screen, rounded-buttons, professional",0
Lapa Ninja (Post),Jon Howell,https://www.lapa.ninja/post/jonhowell/,https://cdn.lapa.ninja/assets/images/1x/jonhowell-thumb.jpg,"[""#020102"", ""#392f32""]","{""#020102"": 0.6162, ""#392f32"": 0.1356}",#020102,dark neutral,"avatar, grid layout, large typography, search bar, video background, sidebar","futuristic, modern, artistic",0.75,Modern grid layout with dark neutral background and large typography.,"modern, grid, dark, typography, futuristic, artistic",4
Lapa Ninja (Post),Brainfish,https://www.lapa.ninja/post/brainfishai/,https://cdn.lapa.ninja/assets/images/1x/brainfishai-thumb.jpg,"[""#aeebe7"", ""#e2f6f9""]","{""#aeebe7"": 0.4277, ""#e2f6f9"": 0.2702}",#aeebe7,bright teal,"rounded buttons, top navigation, sidebar, pricing cards, feature list, search bar","modern, minimal, cool",0.71,Modern layout with bright teal sidebar and rounded buttons.,"modern, minimal, bright-teal, sidebar, rounded-buttons, pricing-cards",7
Lapa Ninja (Post),Board.fun,https://www.lapa.ninja/post/board-fun/,https://cdn.lapa.ninja/assets/images/1x/board-fun-thumb.jpg,"[""#332825"", ""#fefdf1""]","{""#332825"": 0.2149, ""#fefdf1"": 0.3194}",#332825,dark muted red,"large typography, split screen, grid layout, sidebar, rounded buttons, video background","modern, creative, artistic",0.61,Modern split screen layout with dark muted red typography and rounded buttons.,"modern, creative, dark-muted-red, grid, sidebar, rounded-buttons",5
Lapa Ninja (Post),Chipsa,https://www.lapa.ninja/post/chipsa/,https://cdn.lapa.ninja/assets/images/1x/chipsa-thumb.jpg,"[""#f5f5f5"", ""#161615""]","{""#f5f5f5"": 0.7214, ""#161615"": 0.089}",#f5f5f5,light neutral,"large typography, rounded buttons, sidebar, top navigation, avatar, form","futuristic, modern, minimal",0.75,Modern layout with light neutral background and large typography elements.,"modern, minimal, light, typography, rounded-buttons, sidebar",1
Lapa Ninja (Post),Aeons,https://www.lapa.ninja/post/aeons/,https://cdn.lapa.ninja/assets/images/1x/aeons-thumb.jpg,"[""#010101""]","{""#010101"": 0.9231}",#010101,dark neutral,"centered hero, avatar, icon list, video background, large typography, data table","cool, creative, futuristic",0.75,Futuristic layout with dark neutral tones featuring a centered hero and large typography.,"cool, creative, dark, modern, typography, video-background",6
Lapa Ninja (Post),MØM,https://www.lapa.ninja/post/matter-of-mind-2/,https://cdn.lapa.ninja/assets/images/1x/matter-of-mind-2-thumb.jpg,"[""#272928""]","{""#272928"": 0.8408}",#272928,dark gray,"large typography, sidebar, rounded buttons, grid layout, video background, data table","modern, minimal, bold",0.75,Modern grid layout with dark gray background and large typography.,"modern, minimal, dark-gray, bold, grid, typography",4
Lapa Ninja (Post),Merlin,https://www.lapa.ninja/post/merlin/,https://cdn.lapa.ninja/assets/images/1x/merlin-thumb.jpg,"[""#fdfefe"", ""#4f9cc0""]","{""#fdfefe"": 0.8424, ""#4f9cc0"": 0.0608}",#fdfefe,light neutral,"search bar, rounded buttons, avatar, sidebar, cta button, split screen","professional, modern, futuristic",0.75,Professional split screen layout with light neutral background and rounded buttons.,"professional, modern, neutral, split-screen, rounded-buttons, clean",0
Lapa Ninja (Post),CHRLS.DSGN,https://www.lapa.ninja/post/chrls/,https://cdn.lapa.ninja/assets/images/1x/chrls-thumb.jpg,"[""#e9e9e9"", ""#f46d21""]","{""#e9e9e9"": 0.7222, ""#f46d21"": 0.1001}",#e9e9e9,light gray,"sidebar, cta button, grid layout, large typography, single column, pricing cards","modern, minimal, professional",0.75,Modern single-column layout with light gray background and large typography.,"modern, minimal, light-gray, grid, professional, sidebar, typography",1
