source,title,author,price,tags,image,url,ai_caption,primary_hex,primary_descriptor,ai_palette,image_confidence
Lapa Ninja (Post),Monologue,SAAS,,,https://cdn.lapa.ninja/assets/images/1x/monologue-thumb.jpg,https://www.lapa.ninja/post/monologue/,"Minimalist design with a serene mood, featuring a soft color palette and clean layout.",,soft neutral,"[""#f0f0f0"", ""#ffffff"", ""#d9d9d9"", ""#bfbfbf""]",0.5
Lapa Ninja (Post),Ona,TECHNOLOGY,,,https://cdn.lapa.ninja/assets/images/1x/ona-thumb.jpg,https://www.lapa.ninja/post/ona/,"Minimalist design with a serene mood, featuring a neutral palette and clean layout.",,neutral tones,"[""#f0f0f0"", ""#cccccc"", ""#ffffff"", ""#000000""]",0.5
Lapa Ninja (Post),Jon Howell,PORTFOLIO,,,https://cdn.lapa.ninja/assets/images/1x/jonhowell-thumb.jpg,https://www.lapa.ninja/post/jonhowell/,Minimalist portfolio showcasing a clean layout with a neutral color tone.,,neutral,"[""#ffffff"", ""#f0f0f0"", ""#000000"", ""#cccccc""]",0.5
Lapa Ninja (Post),Brainfish,ARTIFICIAL INTELLIGENCE,,,https://cdn.lapa.ninja/assets/images/1x/brainfishai-thumb.jpg,https://www.lapa.ninja/post/brainfishai/,"Minimalist design with a neutral tone, featuring a clean layout and subtle imagery.",,neutral,"[""#ffffff"", ""#f0f0f0"", ""#cccccc"", ""#000000""]",0.5
Lapa Ninja (Post),Board.fun,ECOMMERCE,,,https://cdn.lapa.ninja/assets/images/1x/board-fun-thumb.jpg,https://www.lapa.ninja/post/board-fun/,Playful website with a vibrant color palette and engaging layout elements.,,bright and playful,"[""#ffcc00"", ""#ff6699"", ""#66ccff"", ""#ffcc66""]",0.5
Lapa Ninja (Post),Chipsa,3D WEBSITES,,,https://cdn.lapa.ninja/assets/images/1x/chipsa-thumb.jpg,https://www.lapa.ninja/post/chipsa/,Playful 3D website with vibrant colors and an engaging layout.,,bright and playful,"[""#ffcc00"", ""#ff5733"", ""#33ccff"", ""#ff33a1""]",0.5
Lapa Ninja (Post),Aeons,NFT,,,https://cdn.lapa.ninja/assets/images/1x/aeons-thumb.jpg,https://www.lapa.ninja/post/aeons/,"Ethereal design with a cosmic theme, featuring a dark palette and fluid layout.",,dark cosmic,"[""#000000"", ""#1a1a1a"", ""#ffffff"", ""#ffcc00""]",0.5
Lapa Ninja (Post),MØM,AGENCY,,,https://cdn.lapa.ninja/assets/images/1x/matter-of-mind-2-thumb.jpg,https://www.lapa.ninja/post/matter-of-mind-2/,Contemplative design with a serene palette and minimalistic layout.,,neutral tones,"[""#f0f0f0"", ""#d9d9d9"", ""#bfbfbf"", ""#a6a6a6""]",0.5
Lapa Ninja (Post),Merlin,ARTIFICIAL INTELLIGENCE,,,https://cdn.lapa.ninja/assets/images/1x/merlin-thumb.jpg,https://www.lapa.ninja/post/merlin/,"Minimalist design with a neutral tone and clean layout, featuring a serene atmosphere.",,neutral,"[""#ffffff"", ""#f0f0f0"", ""#e0e0e0"", ""#d0d0d0""]",0.5
Lapa Ninja (Post),CHRLS.DSGN,PORTFOLIO,,,https://cdn.lapa.ninja/assets/images/1x/chrls-thumb.jpg,https://www.lapa.ninja/post/chrls/,Minimalist portfolio showcasing a modern aesthetic with a neutral color palette.,,neutral gray,"[""#f0f0f0"", ""#cccccc"", ""#333333"", ""#ffffff""]",0.5
